№,Марка,Пробег,Цена,Фото
129,"Toyota Land Cruiser , 2008",Нет пробега!,29500$ ,https://i.cars.kg/preview/r/xv69GXRmOUedPewmJNvSyQ/1080x-/20221101/3ff83019707478837372cd2f89867495.jpg
130,"Toyota 4Runner , 2014",Нет пробега!,37000$ ,https://i.cars.kg/preview/r/SaF9Gpg0CFwRimI42pLW1Q/1080x-/20221101/1cad140dd825b7ed5ae8d4f4157f6549.jpg
131,"Honda Accord 6 поколение [рестайлинг] JP-spec седан 4-дв. , 2002",13 км,6800$ ,https://i.cars.kg/preview/r/rRoaI-ry6ALc-G-lrVb0VQ/1080x-/20221025/5bce57937369e26388705f9f8d377df1.jpeg
132,"Toyota Highlander 3 поколение Кроссовер , 2018",1 км,32900$ ,https://i.cars.kg/preview/r/dOW1EVYmpPg5zn6L0p23_A/1080x-/20221024/0069c87720bbea20c5265be6de7f2888.jpg
133,"Lexus GS 3 поколение Седан , 2006",234000 км,11000$ ,https://i.cars.kg/preview/r/ckn66otyii4p8Qoa3dHV-A/1080x-/20221024/92da57b6a34e8f38e4cc2947e4392009.jpg
134,"Lexus GS 3 поколение Седан , 2006",234000 км,11000$ ,https://i.cars.kg/preview/r/ckn66otyii4p8Qoa3dHV-A/1080x-/20221024/92da57b6a34e8f38e4cc2947e4392009.jpg
135,"Lexus LX 3 поколение [2-й рестайлинг] Внедорожник , 2008",78000 км,125$ ,https://i.cars.kg/preview/r/PASWgj4TXWn7ajRJkLnh2g/1080x-/20221024/9904a7af5bd421049cebbbece7d99496.jpg
136,"Kia Carnival 2 поколение Минивэн , 2014",164 км,25500$ ,https://i.cars.kg/preview/r/CEJSMd3jmCmhQSjrpEZ-Fw/1080x-/20221024/c1803f3078f4d63f1bf33e15dd2fcb66.jpg
137,"Toyota Camry XV30 Седан , 2002",133700 км,9300$ ,https://i.cars.kg/preview/r/DbC3nDz-x35vjqoTWNyKjw/1080x-/20221024/5404d7beea37963cd112517a43a595b3.jpg
138,"Lexus GX 1 поколение Внедорожник , 2005",169000 км,25000$ ,https://i.cars.kg/preview/r/rvNEtuHWYNlC0IrEpdO6Jg/1080x-/20221024/0dec5f7d2e7ed6e9ce26e270be2b57d1.jpg
139,"Land Rover Discovery 4 поколение [рестайлинг] Внедорожник 5-дв. , 2016",61000 км,58000$ ,https://i.cars.kg/preview/r/mKbRmuddVLY1rfivGnkxIg/1080x-/20221024/84e707bafa674a57a4314f441e363a1f.jpeg
140,"Volkswagen Golf 4 поколение Хетчбэк 5-дв. , 2001",3 км,6000$ ,https://i.cars.kg/preview/r/PkHZ4iBviTM4sGIJ9AXYdw/1080x-/20221024/698fa443e76f385382cb85aaa9795ebe.jpg
141,"Mitsubishi Pajero 3 поколение [рестайлинг] Внедорожник 5-дв. , 2003",299999 км,9200$ ,https://i.cars.kg/preview/r/t4W3SDeXAHxwUZtvUu3PGg/1080x-/20221024/69b9e4895aac4a614fca2aeaa97a6ab5.jpg
142,"Ford Transit 6 поколение , 2007",470000 км,11$ ,https://i.cars.kg/preview/r/t2nF5egmvL-3sDZ40VksTQ/1080x-/20221024/6a3d0bae88fa7377eb4c4756fec24d09.jpg
143,"Huawei Seres SF5, 2021",4100 км,58000$ ,https://i.cars.kg/preview/r/Q4FieWrzVGNYw2v52gxT4Q/1080x-/20221024/131aae02a4409f389c7bf74218e754a6.jpg
144,"Toyota Altezza XE10 Gita универсал , 2001",Нет пробега!,6300$ ,https://i.cars.kg/preview/r/TLHnJMemwKtF7l0tSYEeNw/1080x-/20221024/cd21ce9e3551b06ae67ea5c0ea06d637.jpg
145,"Lexus LX 2 поколение Внедорожник , 2005",330000 км,24000$ ,https://i.cars.kg/preview/r/d8fHDM7tFfDZhcdD-YfV3A/1080x-/20221024/7d751544cb750e74911cb36ddcba2772.jpg
146,"Hyundai Avante MD Седан , 2012",117500 км,11200$ ,https://i.cars.kg/preview/r/fFOAaZ5lKxQpcknNKyfuQA/1080x-/20221024/967be82318c552e1c6f177737d19a397.jpg
147,"Hyundai Solaris 1 поколение Седан , 2012",143524 км,7300$ ,https://i.cars.kg/preview/r/QDwrix0ytQFc96V4MLPl6g/1080x-/20221024/dc5539b1c336d253b0ba65eb557f2607.jpg
148,"Hyundai Solaris 1 поколение Седан , 2012",143524 км,7300$ ,https://i.cars.kg/preview/r/QDwrix0ytQFc96V4MLPl6g/1080x-/20221024/dc5539b1c336d253b0ba65eb557f2607.jpg
149,"Honda Accord 8 поколение Седан 4-дв. , 2008",1 км,11200$ ,https://i.cars.kg/preview/r/2sV-MXwJPEG-cNeA4DFewQ/1080x-/20221024/89230d1eb74b964c78aa4ff4ae7e3db2.jpg
150,"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2016",72 км,65000$ ,https://i.cars.kg/preview/r/apW7uKudcdBbfAq87Qt4gA/1080x-/20221024/a78bf1a729adfabce4f4dd3ffb52aba1.jpeg
151,"Volkswagen Jetta 6 поколение Седан , 2013",175000 км,9900$ ,https://i.cars.kg/preview/r/tuegsL_Q7u9juNc9LDZiHw/1080x-/20221024/09b31e900f8795f47439c440c8cd2b08.jpg
152,"Honda Stepwgn 1 поколение Минивэн , 2000",353000 км,6886$ ,https://i.cars.kg/preview/r/lqzikyDtEKO5TYtZRcnxjA/1080x-/20221024/0d5d45f9324ace6d02f6313255a76c5a.jpg
153,"Mercedes-Benz CLS-Класс C218/X218 [рестайлинг] Седан 4-дв. , 2014",128000 км,32000$ ,https://i.cars.kg/preview/r/X-REpcCK4caB20kvpLgMqQ/1080x-/20221024/0070c7fbb3ce70099f3862ed7491beaa.jpg
154,"Mercedes-Benz E-Класс W212/S212/C207/A207 Седан 4-дв. , 2009",Нет пробега!,14000$ ,https://i.cars.kg/preview/r/xCitZpOrSCKYd18XEeIjMw/1080x-/20221024/b9cd1449433984fa61c89d9d3614e371.jpg
155,"Infiniti FX-Series 2 поколение Кроссовер 5-дв. , 2008",163000 км,7000$ ,https://i.cars.kg/preview/r/v7IY5t6ba3CGsgJEuVuTtw/1080x-/20221023/6fd76fed288cafd861c3f05a4e952247.jpg
156,"Lexus ES 5 поколение Седан , 2009",290000 км,14500$ ,https://i.cars.kg/preview/r/LI12yR0GrBQqDO5MaEH1sw/1080x-/20221023/645a9044158f32ce0ba49e6070b18092.jpeg
157,"Hyundai Porter 4 поколение Single Cab борт 2-дв. , 2008",Нет пробега!,5699$ ,Нет картинки!
158,"Lexus ES 6 поколение [рестайлинг] Седан , 2019",85000 км,47500$ ,https://i.cars.kg/preview/r/1F5sIY4y6IqH0QMeVVbA5w/1080x-/20221023/a5bf0271f3cbfcb15c89705b0425853c.jpg
159,"Jeep Grand Cherokee WJ Внедорожник , 1999",310430 км,7000$ ,https://i.cars.kg/preview/r/vBhrIkxTxV8DjDMJXHJfxQ/1080x-/20221023/4922d10eca397205c691838e0aa15c45.jpg
160,"Kia Carnival 2 поколение Минивэн , 2010",Нет пробега!,105000$ ,https://i.cars.kg/preview/r/IXui8SqeIGA0Go_op1WeZQ/1080x-/20221023/a0637b80845daf3dd96ba8300f10e422.jpeg
161,"BMW X5 F15 Кроссовер , 2016",Нет пробега!,145500$ ,https://i.cars.kg/preview/r/_Y5IwhLpGqigeo5LSU0lgg/1080x-/20221023/f4798001c4575eecd10f7b1217c06ac8.jpeg
162,"Honda Stepwgn 1 поколение Минивэн , 2000",Нет пробега!,7200$ ,Нет картинки!
163,"Honda Stream 1 поколение Минивэн , 2001",256000 км,7000$ ,Нет картинки!
164,"Daewoo Nubira J150/J190 [рестайлинг] Седан , 1999",258000 км,130000$ ,Нет картинки!
165,"Toyota Estima 2 поколение Минивэн , 2003",214000 км,7005$ ,https://i.cars.kg/preview/r/T8pa4Iqf2xlPfQvMtJxesA/1080x-/20221023/84b98cd683b4328c66c0c45c4a9b5dca.jpg
166,"Honda Odyssey 2 поколение [рестайлинг] Absolute минивэн 5-дв. , 2003",266000 км,6800$ ,https://i.cars.kg/preview/r/bqJRP8PfoRWpJ4Fv90GXOw/1080x-/20221023/3324abb3979a43927895b36e5ede50a8.jpeg
167,"Lexus LS 4 поколение [рестайлинг] 460 седан 4-дв. , 2007",149000 км,14500$ ,https://i.cars.kg/preview/r/lAbyrs2pCmNJilXcmwq-BA/1080x-/20221022/ecd1888ef7661ac88fb43e4d4fbf312b.jpg
168,"Lexus RX 2 поколение Кроссовер , 2004",150000 км,16000$ ,https://i.cars.kg/preview/r/dP_hiyRI6_SXycyMYupBqA/1080x-/20221022/fd8739dca39f10a47e22fdabacaf021c.jpg
169,"BMW X5 E53 Кроссовер , 2002",204000 км,7500$ ,https://i.cars.kg/preview/r/an92S_tfgYmSfEOehV6FbA/1080x-/20221022/6ebfdc42e7acecb60575798f86d00a1c.webp
170,"Toyota Camry , 2004",192000 км,12000$ ,https://i.cars.kg/preview/r/NoyzpBVor8ZtUyUO4b40xA/1080x-/20221022/04cca706c24d5720803d1765d8b1dde1.jpg
171,"Toyota Voxy , 2004",306000 км,9000$ ,https://i.cars.kg/preview/r/ztgRhaTCHeKwok2zRWqTmw/1080x-/20221022/fc01b4eb26bec26bc4437f4672877352.jpg
172,"Volkswagen Golf 2 поколение GTI хетчбэк 5-дв. , 1988",372000 км,1306$ ,https://i.cars.kg/preview/r/bv3HZQsP5KbO12cdMD873w/1080x-/20221022/69852887d555b92fbd88c230f9e25c72.jpg
173,"Toyota Noah 1 поколение Минивэн , 2004",174000 км,9$ ,https://i.cars.kg/preview/r/WSIjc53ljkJWkCNI_Ro66w/1080x-/20221022/599d3d644d384f6b407845cd7ecea723.jpg
174,"Suzuki Alto 5 поколение Хетчбэк , 2004",185432 км,2321$ ,https://i.cars.kg/preview/r/MCp_HDERATuLVta-BxsqfA/1080x-/20221022/f22041649d9351485521264fc3fe3bad.jpg
175,"Toyota Camry XV50 [рестайлинг] Седан , 2019",36000 км,27500$ ,https://i.cars.kg/preview/r/35hZN6ig0N9gN1hosY_fDQ/1080x-/20221021/e56413617b644c4d21aacbce4c2db70e.jpg
176,"Mercedes-Benz E-Класс W124 Купе 2-дв. , 1991",300000 км,5000$ ,https://i.cars.kg/preview/r/DS5U5Ln8vktVGKhMT1C4Dg/1080x-/20221021/5b783d67d1613ea23086932570a04018.jpg
177,"Chevrolet Spark M300 Хетчбэк , 2016",53502 км,9200$ ,https://i.cars.kg/preview/r/hR7W3chIIobzVkFR-wHMzg/1080x-/20221021/0454ecaa5ff8eec0ff430b4dc3910888.jpeg
178,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016",63500 км,21000$ ,https://i.cars.kg/preview/r/FnLZOuzQPlzQXcUh_p8Bgg/1080x-/20221021/0f618b3e7b497a627b4e8a950ca39a01.jpg
179,"BMW 5 серия E39 [рестайлинг] Седан , 2002",261830 км,9500$ ,https://i.cars.kg/preview/r/WlN5f1oEndqu2vIintO7wg/1080x-/20221021/fa570e76e25ef04fd9358fe4fb8d2ced.jpeg
180,"Toyota Camry , 2017",54800 км,27200$ ,https://i.cars.kg/preview/r/KxWYGGTLDSGnTrwnz2-viQ/1080x-/20221021/e6ec8cef8c214addc602db8c73b779a3.jpg
181,"Honda Odyssey 2 поколение [рестайлинг] Absolute минивэн 5-дв. , 2002",333000 км,6530$ ,https://i.cars.kg/preview/r/DsLGIlpH6ROFjs8P6gDLuA/1080x-/20221021/59f1af24dc85e81a68abb4c9917a4e39.jpg
182,"Hyundai Elantra MD [рестайлинг] Седан , 2019",36000 км,14000$ ,https://i.cars.kg/preview/r/dPUePeorvFUO1SMVBGZpFg/1080x-/20221021/ad26337da76673ec526a7ed539d89e79.jpeg
183,"Honda , 2003",199 км,8700$ ,https://i.cars.kg/preview/r/-g5swlKkx4SlDx5Qljvk5Q/1080x-/20221021/0ebdcfa5f934e35cfff425bbc33aaf92.jpg
184,"Audi A6 A4/C4 Универсал , 1995",312000 км,4749$ ,https://i.cars.kg/preview/r/pfDPQcAHFHCsYVVBizAk_Q/1080x-/20221020/f6eba603a640fcc3a740f03c50ccd411.jpg
185,"Hyundai Santamo 1 поколение Минивэн 5-дв. , 1999",Нет пробега!,2612$ ,https://i.cars.kg/preview/r/pl7J1eUVuXhxSMtClBQueg/1080x-/20221020/3874e5939ee4f4f4a4d5857db7089254.jpg
186,"Mercedes-Benz Sprinter W906 Фургон , 2006",229000 км,9500$ ,https://i.cars.kg/preview/r/rA1B7GCq0Bs-crfzXGOsMA/1080x-/20221020/812e60518a9df3505022108ec536118b.jpg
187,"ИЖ 412 1 поколение [рестайлинг] Седан , 1978",60000 км,1000$ ,https://i.cars.kg/preview/r/0A7tYbn4zOC9QS5hjFsznQ/1080x-/20221020/e29649d90713787c815f774c59c22157.webp
188,"Москвич 2140 , 1980",50000 км,771$ ,Нет картинки!
189,"Toyota Wish 1 поколение [рестайлинг] Минивэн , 2006",Нет пробега!,7717$ ,https://i.cars.kg/preview/r/gmQigrFgilauHHLf_iueXQ/1080x-/20221020/301091d290b60c2bd352264b5b0c6af3.jpg
190,"Lexus NX 1 поколение Кроссовер 5-дв. , 2017",48000 км,32000$ ,https://i.cars.kg/preview/r/ZkOmAl3Ru22s9CiSPJW_1w/1080x-/20221020/494265cb539250a459cc96d083f81a39.jpg
191,"BMW X6 E71/E72 Sports Activity Coupe кроссовер , 2008",139000 км,22000$ ,https://i.cars.kg/preview/r/CvWvAfNCYePMhgxap1MiNg/1080x-/20221020/5f65cc25d70f287f85544d3dee8a19e5.jpg
192,"BMW X5 E53 Кроссовер , 2003",262000 км,8200$ ,https://i.cars.kg/preview/r/VST2YRTjtAiFenHez9Ujgg/1080x-/20221020/9cb8370144a3683ee8b09727bb37d3e2.jpg
193,"Toyota Highlander 3 поколение Кроссовер , 2017",70000 км,46000$ ,https://i.cars.kg/preview/r/_bAb1mU2s8iWnB41_qeqmQ/1080x-/20221020/1eec56368528bbc7356ebf2ba58ec298.jpg
194,"Mitsubishi Lancer X Седан 4-дв. , 2012",217000 км,8300$ ,https://i.cars.kg/preview/r/e1rI2zAYxlQC-6Aq70irjg/1080x-/20221020/2b8fc40837516910668679da3e800b2a.jpeg
195,"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2017",40000 км,55000$ ,https://i.cars.kg/preview/r/1L83v4L0lK9Kw6Vu6Ul97w/1080x-/20221020/f0de588e6d494c2356ce07ba9babe635.webp
196,"Lexus GS , 2005",Нет пробега!,8000$ ,https://i.cars.kg/preview/r/weuuxjl3v_UvkicaeBG9jg/1080x-/20221020/5bcf359cd25e6e1f49347d2c6bb4a6fd.jpg
197,"Toyota Windom MCV30 Седан , 2003",205000 км,10700$ ,https://i.cars.kg/preview/r/XKBMpLfTxLp5hgeto71Ukw/1080x-/20221020/7d8369d2149692d14729291e5524c8c4.jpg
198,"Subaru Legacy 4 поколение , 2005",Нет пробега!,6500$ ,https://i.cars.kg/preview/r/8fzZQFTDmZKZ2yY8koLWQQ/1080x-/20221019/df2bff4b65670c310bbb6d0ca3713dcc.jpg
199,"Toyota Camry XV30 [рестайлинг] Седан , 2005",114000 км,10800$ ,https://i.cars.kg/preview/r/RqwVg9B17JGEodmw3XGUoA/1080x-/20221019/a6180292f962920c832994f90353584c.jpg
200,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1992",194000 км,1840$ ,https://i.cars.kg/preview/r/mMw2tqFTcm81XJJNb1OUPQ/1080x-/20221019/3c3b631e74854add541a1c527dca4d63.jpg
201,"Toyota Highlander 3 поколение Кроссовер , 2022",1 км,71000$ ,https://i.cars.kg/preview/r/ochEuPa2Z44VB9FPV7-Iig/1080x-/20221019/5a9519802001e13721029e868b2cc7a0.jpg
202,"BMW 3 серия E30 [рестайлинг] Седан , 1994",50 км,2800$ ,https://i.cars.kg/preview/r/w8Eox_VB9TxSm2OcYrOZAg/1080x-/20221019/7dc807647cacf8cc3386dc0c7e6994c2.jpg
203,"Toyota Prius 4 поколение Хетчбэк , 2016",139000 км,15500$ ,https://i.cars.kg/preview/r/O7RO4QmVnR_a1YNoCh8H6g/1080x-/20221019/2a12fb87decbffd935c03376d1135ccd.jpg
204,"Chevrolet TrailBlazer 1 поколение Внедорожник 5-дв. , 2002",190000 км,12800$ ,https://i.cars.kg/preview/r/D35WXDgXwCb8dyCYl6VtuA/1080x-/20221019/40e1cd0a37a29f033a4531aac770cbe0.jpg
205,"Kia Cee'd , 2011",160000 км,9000$ ,https://i.cars.kg/preview/r/wQ_A1d0yd30atjDcN38SAQ/1080x-/20221019/6fc9345d630c50e55aaed3dadfd84b76.jpg
206,"Lexus RX 4 поколение Кроссовер , 2018",49000 км,46000$ ,https://i.cars.kg/preview/r/687hgw7F41AmRw1iU5ps0g/1080x-/20221019/34316a7eb1fed4cdf62d7cdc329ba151.jpg
207,"Renault Laguna 2 поколение Хетчбэк , 2002",Нет пробега!,4800$ ,https://i.cars.kg/preview/r/-YxLbs026DDQ0hBLDoeN_A/1080x-/20221019/6212fe1438b145c8dc202e5caf4b0c13.jpeg
208,"Volkswagen Passat B3 Универсал , 1989",Нет пробега!,2$ ,https://i.cars.kg/preview/r/PNPOcgefc4lojwsuhrcXLg/1080x-/20221019/899dc6c518045e9001e6152f73e0a854.jpg
209,"Lexus GX 1 поколение Внедорожник , 2004",142000 км,20000$ ,https://i.cars.kg/preview/r/9svOkADmXizPj26p0B3Ieg/1080x-/20221019/0b0c70e042510b7720ed29b5f80fe742.jpg
210,"Rolls-Royce Ghost 2 поколение Седан , 2020",10000 км,1000$ ,https://i.cars.kg/preview/r/khh2T1Y4_g82sD_E4eINlg/1080x-/20221019/15b7d299bfa9bfe8b8e0494d6b1bb35b.jpg
211,"Daewoo Matiz M100 Хетчбэк , 2001",279000 км,2968$ ,https://i.cars.kg/preview/r/r1gLWpHVpYA6WoUEdieLvA/1080x-/20221019/4acd15324402b25f4bf55fdbe08d1342.jpg
212,"Volkswagen Touareg 1 поколение Кроссовер , 2004",300000 км,10000$ ,Нет картинки!
213,"Toyota RAV4 , 2020",5000 км,42$ ,https://i.cars.kg/preview/r/KoYtB4urPK4oIYIOiShVJg/1080x-/20221018/678a6719c00855cb0886b7e4b769c442.jpg
214,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016",42000 км,26000$ ,https://i.cars.kg/preview/r/W6V0kaEmuX4m9_T9vdsQHg/1080x-/20221018/83fc87d70d03334d7107c87a4aa0102b.jpg
215,"Lexus GX 1 поколение Внедорожник , 2005",170000 км,23000$ ,https://i.cars.kg/preview/r/VDexFMGTPWldf_CWEVFaLQ/1080x-/20221018/a3a1f0913cff0662cf7540b94dc49aa7.jpg
216,"BMW 5 серия F07/F10/F11 Седан , 2010",279000 км,17500$ ,https://i.cars.kg/preview/r/gk4aaOQxxa8chnY0YXcpEg/1080x-/20221018/611fd07e1a649864d3c84ed58ee85d84.jpg
217,"КАМАЗ , 2011",Нет пробега!,8500$ ,Нет картинки!
218,"Toyota Avalon XX40 Hybrid седан 4-дв. , 2018",56000 км,43100$ ,https://i.cars.kg/preview/r/O0pH_hNyboEpuRN_qscEOg/1080x-/20221018/bdede6a1d182ec48445508f3e576f9f8.jpg
219,"Toyota Avalon XX40 Hybrid седан 4-дв. , 2014",250000 км,18500$ ,https://i.cars.kg/preview/r/QwaydRk660sVj2ataBB5Ew/1080x-/20221018/6ad26e22bedf03146c3c0ff02cfb5729.jpg
220,"Toyota Land Cruiser Prado J120 Внедорожник 5-дв. , 2003",170000 км,17000$ ,https://i.cars.kg/preview/r/jMwDZJLV2ZxxnlsA3Z10Xw/1080x-/20221018/c564b384fe33282e6e219f2a7f469a00.jpg
221,"Renault Talisman , 2017",71000 км,13500$ ,https://i.cars.kg/preview/r/LFNcZBWb9LnR94lQW9iPAA/1080x-/20221018/1b17d0f0d5fa70da2c02404b36b50f72.jpg
222,"Honda Stream 1 поколение Минивэн , 2002",310000 км,6300$ ,https://i.cars.kg/preview/r/5nVY--j02qAo_5zofslSpg/1080x-/20221018/bbaf4a0940462ac4c71799f7b7eb9d96.jpg
223,"Honda Civic 8 поколение Седан 4-дв. , 2007",225000 км,8200$ ,https://i.cars.kg/preview/r/h-NFRdLishJe1vGgWDwuWw/1080x-/20221018/df62e2e3c7a47005d545b0f95f8bf456.jpg
224,"BMW 5 серия E39 Седан 4-дв. , 1999",274000 км,4155$ ,https://i.cars.kg/preview/r/m0YofB4E_oG0VUQ3fwn1Ng/1080x-/20221018/8ff760a28a1b7a34b3efea4a7dc3bbc7.jpg
225,"Toyota Camry XV50 [рестайлинг] Седан , 2018",1 км,31500$ ,https://i.cars.kg/preview/r/RDMRV_kNUmxlufHI5YHwBw/1080x-/20221018/76d6e4b724164bfe3e60496d919ad2fb.jpg
226,"Lexus ES 6 поколение [рестайлинг] Седан , 2016",1 км,29500$ ,https://i.cars.kg/preview/r/faf7nHwc2bZrrDXmyNIexA/1080x-/20221018/188b9d2c37e281c5bf6b61e0f14780b8.jpg
227,"Lexus LX 3 поколение [2-й рестайлинг] Внедорожник , 2016",600000 км,120000$ ,https://i.cars.kg/preview/r/pvhOwpySnr7W0NBMrz2SCA/1080x-/20221018/9beba56ad47688ee4b02a9971703988d.jpg
228,"Toyota Alphard 1 поколение [рестайлинг] Минивэн , 2008",132000 км,11000$ ,https://i.cars.kg/preview/r/vi2qhJA4BuMHq47gbBvq3Q/1080x-/20221018/fd5ccf634c8080ce2de5f1b7501a7e0c.jpeg
229,"Toyota Crown S180 [рестайлинг] Седан , 2008",42000 км,15$ ,https://i.cars.kg/preview/r/dK5ZJjLnYcYxtjptk9Gb8Q/1080x-/20221018/ebc9c2eb81777febbe09382ad3d17515.jpg
230,"Kia Clarus 1 поколение [рестайлинг] Седан , 1998",172000 км,1543$ ,https://i.cars.kg/preview/r/g_ACw3tzV9NAlNwfVOUvMg/1080x-/20221018/720623dca66d2d15b1018cae9693ea54.jpg
231,"Mazda Atenza 1 поколение Хетчбэк , 2002",210527 км,6000$ ,https://i.cars.kg/preview/r/8n3nYEPk9mXnzadUWqMNjA/1080x-/20221017/3882cca4bc5a3947f8b0437ec2ad3fa7.jpeg
232,"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2016",1 км,55000$ ,https://i.cars.kg/preview/r/jMa4i4hmquon8j4mlZVLcg/1080x-/20221017/e7c8a3e4165eb509feb1921b9cf92c41.webp
233,"Honda Odyssey 3 поколение US-spec минивэн 5-дв. , 2004",299000 км,8$ ,https://i.cars.kg/preview/r/mz_lPfbuNtPUNBblfuvymg/1080x-/20221017/3b928fc57633b9f7a02a5e47ea7020ec.jpg
234,"Toyota Camry XV50 [рестайлинг] Седан , 2016",114000 км,26000$ ,https://i.cars.kg/preview/r/dZgxYcQTk-Hgpcp5zyusJw/1080x-/20221017/be0761f0c2b2f853d435e31192dee907.jpeg
235,"Subaru Forester 3 поколение , 2008",51400 км,10000$ ,https://i.cars.kg/preview/r/xAqaLDCZUahD-eO7b2vT_A/1080x-/20221017/6ebedc8d6331288050a4eb13ad8e1971.jpg
236,"Lexus RX 2 поколение , 2004",152800 км,15000$ ,https://i.cars.kg/preview/r/XER83AF1hP38wbpkN7FBJA/1080x-/20221017/22b9a502cbc547283cbeaf6570eaf7eb.jpg
237,"Lexus GX 1 поколение Внедорожник , 2005",218000 км,26200$ ,https://i.cars.kg/preview/r/vfAmg6Gqx8f0ihCfXi4dXA/1080x-/20221017/f1fd623930e3358d3015352c3d23872f.jpeg
238,"Toyota Highlander 3 поколение Кроссовер , 2015",170000 км,33000$ ,https://i.cars.kg/preview/r/6dzbgKC0ndYmzh7Hzh8lyg/1080x-/20221017/52c1bbc10b7193a739a953115c891e9d.jpg
239,"Kia K5 1 поколение Седан , 2018",1 км,15500$ ,https://i.cars.kg/preview/r/HyOa_zr2tDhNndTKAPY4MA/1080x-/20221017/7409afa930777309fe3ca4b5ca16fa86.jpg
240,"Honda Accord 7 поколение [рестайлинг] Седан 4-дв. , 2008",Нет пробега!,10200$ ,https://i.cars.kg/preview/r/KXovCnhuRT38v_Ijuga5Sg/1080x-/20221017/c424141b8dc81b3ad01d65559d75a06f.jpg
241,"ВАЗ (Lada) 4x4 1 поколение [рестайлинг] 2129 внедорожник 3-дв. , 2002",73000 км,1781$ ,https://i.cars.kg/preview/r/I30QYxzoCnEYNDBatBV7Dg/1080x-/20221017/4174306f5aeb4c52ac3996e972195872.jpg
242,"BMW 5 серия E39 Седан 4-дв. , 1996",417000 км,4500$ ,https://i.cars.kg/preview/r/86AEKPkjeXpKsAqUWZsTew/1080x-/20221017/8be71ccafe163405c8bd13e132f09dca.jpg
243,"Lexus RX 2 поколение Кроссовер , 2002",250000 км,10500$ ,https://i.cars.kg/preview/r/Pdp4lURt7ZyQ0o4pcQKiOQ/1080x-/20221017/2d95bf781185336dd2246a2b18b5b1d6.jpg
244,"Honda Odyssey , 2001",Нет пробега!,7000$ ,https://i.cars.kg/preview/r/7UtX4mfhGyK2G4Tp7ElaSQ/1080x-/20221017/c66611ed24f09b4436881c5bed74a75b.jpg
245,"Porsche Cayenne 955 , 2004",Нет пробега!,10000$ ,https://i.cars.kg/preview/r/QOOTTWTqUTCfEna6OdOL_g/1080x-/20221016/bb343d247499879b9c5e6768253ca3b1.jpg
246,"Lexus RX 2 поколение Кроссовер , 2003",145000 км,14000$ ,https://i.cars.kg/preview/r/wxvmaDvo-qOorIOUPdjQkA/1080x-/20221016/c879c2b62cf3afe68a03afc227409af3.jpg
247,"Chevrolet Aveo T250 [рестайлинг] Хетчбэк 3-дв. , 2009",128000 км,7100$ ,https://i.cars.kg/preview/r/yFOwlaMzoQXZ-NNNi4N28g/1080x-/20221016/00325013ebff44072a0c992250c26064.jpg
248,"Toyota Highlander 3 поколение Кроссовер , 2020",20000 км,68000$ ,https://i.cars.kg/preview/r/pFHdISWTPoyz6T_J7jDvqQ/1080x-/20221016/2a75bf24fa6ffe8e0668bc5c308f7e5d.jpg
